"brokered_by","price","bed","bath","acre_lot","street","city","state","house_size","price_per_sqft","price_per_acre","area_type"
33888,279000,3,3,0.19,1902853,"Arecibo","Puerto Rico",2872,97.14,1468421.05,"urban"
52707,1e+05,3,1,4.89,1900756,"Arecibo","Puerto Rico",1028,97.28,20449.9,"rural"
40689,168000,4,3,0.25,1902837,"Arecibo","Puerto Rico",1600,105,672000,"urban"
92147,150000,3,2,0.29,1509489,"Arecibo","Puerto Rico",1604,93.52,517241.38,"suburban"
33888,140000,8,2,0.13,918510,"Arecibo","Puerto Rico",1500,93.33,1076923.08,"urban"
109906,70000,2,1,0.1,1855345,"Arecibo","Puerto Rico",680,102.94,7e+05,"urban"
104635,80000,3,1,0.06,982996,"Arecibo","Puerto Rico",750,106.67,1333333.33,"urban"
38569,135000,5,2,0.13,1437193,"Arecibo","Puerto Rico",1500,90,1038461.54,"urban"
92147,215000,3,3,0.24,1449539,"Arecibo","Puerto Rico",2183,98.49,895833.33,"urban"
62210,138000,3,2,0.25,199310,"Arecibo","Puerto Rico",1000,138,552000,"urban"
52707,289000,5,4,0.2,1856979,"Arecibo","Puerto Rico",2832,102.05,1445000,"urban"
62210,132000,3,2,0.25,1725570,"Arecibo","Puerto Rico",1000,132,528000,"urban"
52707,197000,4,4,0.14,1856909,"Arecibo","Puerto Rico",1500,131.33,1407142.86,"urban"
40689,185000,5,3,0.07,869853,"Manati","Puerto Rico",1700,108.82,2642857.14,"urban"
33888,2e+05,6,4,0.37,1855347,"Hatillo","Puerto Rico",3400,58.82,540540.54,"suburban"
1589,210000,3,2,0.25,913609,"Morovis","Puerto Rico",2500,84,840000,"urban"
92147,105000,3,1,0.08,1869494,"Manati","Puerto Rico",921,114.01,1312500,"urban"
103379,113600,3,1,0.07,1837500,"Manati","Puerto Rico",800,142,1622857.14,"urban"
103378,174900,3,2,0.08,1985068,"Barceloneta","Puerto Rico",1195,146.36,2186250,"urban"
103379,134000,3,2,0.07,733378,"Vega Baja","Puerto Rico",895,149.72,1914285.71,"urban"
65672,245000,4,2,0.25,867517,"Vega Baja","Puerto Rico",2038,120.22,980000,"urban"
59533,161000,4,2,0.09,435967,"Caguas","Puerto Rico",1100,146.36,1788888.89,"urban"
52707,225000,3,2,0.12,1881195,"Vega Baja","Puerto Rico",1217,184.88,1875000,"urban"
92147,290000,4,2,0.22,1868675,"Manati","Puerto Rico",2236,129.7,1318181.82,"urban"
109906,375000,4,3,0.21,1854739,"Barceloneta","Puerto Rico",2961,126.65,1785714.29,"urban"
1123,425000,3,2,0.21,1856906,"Camuy","Puerto Rico",2400,177.08,2023809.52,"urban"
52707,1100000,5,3,0.56,1120998,"Quebradillas","Puerto Rico",3000,366.67,1964285.71,"suburban"
62210,418000,5,3,0.22,2402,"Hatillo","Puerto Rico",3650,114.52,1900000,"urban"
52707,365000,5,3,1.46,1902830,"Morovis","Puerto Rico",2366,154.27,250000,"rural"
92147,95000,5,2,0.16,151105,"Quebradillas","Puerto Rico",1757,54.07,593750,"urban"
103378,49900,3,2,0.27,1861976,"Barceloneta","Puerto Rico",1150,43.39,184814.81,"suburban"
103378,90000,2,2,0.09,1844124,"Barceloneta","Puerto Rico",955,94.24,1e+06,"urban"
103378,111000,3,2,0.08,1985086,"Barceloneta","Puerto Rico",1015,109.36,1387500,"urban"
103378,114400,3,2,0.09,1855327,"Barceloneta","Puerto Rico",1105,103.53,1271111.11,"urban"
103378,113500,3,2,0.14,1967757,"Barceloneta","Puerto Rico",955,118.85,810714.29,"urban"
19801,59200,2,1,0.08,594668,"Dorado","Puerto Rico",700,84.57,740000,"urban"
1205,63800,3,1,0.07,13692,"Toa Baja","Puerto Rico",950,67.16,911428.57,"urban"
86129,45000,3,2,0.09,1168757,"Toa Alta","Puerto Rico",1000,45,5e+05,"urban"
19801,55000,2,2,0.11,1913914,"Dorado","Puerto Rico",800,68.75,5e+05,"urban"
19801,1e+05,5,3,0.61,1547175,"Vega Alta","Puerto Rico",1400,71.43,163934.43,"suburban"
81909,80000,4,2,0.19,1584559,"Corozal","Puerto Rico",1500,53.33,421052.63,"urban"
